objectid,objectid_1,objectid_2,facility,maplabel,airportid,city,county,fnctnlclss,classcode,stateclass,faasrvclvl,faasiteno,district,manager,mngremail,phone,f5010url,latdd,longdd,latdms,pmtlat,longdms,arplatdms,arplongdms,arplats,arplongs,pmtlong,geometry
9,30,30,ARCATA AIRPORT,ARCATA,ACV,Arcata/Eureka,Humboldt,Commercial/Primary,1,PRIMARY-NON HUB-REGIONAL-Business/Corporate,Commercial Service Primar,01255.1*A,1,Cody Roggatz,croggatz@co.humboldt.ca.us,707 839-5402,http://www.gcr1.com/5010web/airport.cfm?Site=ACV,40.978111,-124.108611,40-58-41.215N,40-58-41N,124-06-31.028W,40-58-40.2000N,124-06-30.5000W,147520.2000N,446790.5000W,124-06-31W,POINT (-124.1086109992771 40.97811099961387)
21,41,42,BOB HOPE AIRPORT,BOB HOPE,BUR,Burbank,Los Angeles,Commercial/Primary,1,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01353.*A,7,Dan Ferger,dferger@bur.org,818-729-2228,http://www.gcr1.com/5010web/airport.cfm?Site=BUR,34.200667,-118.358667,34-12-02.400N,34-12-02N,118-21-31.200W,34-12-02.4000N,118-21-31.2000W,123122.4000N,426091.2000W,118-21-31W,POINT (-118.3586669999045 34.20066700013432)
29,46,47,BUCHANAN FIELD AIRPORT,BUCHANAN FIELD,CCR,Concord,Contra Costa,Commercial/Primary,1,PRIMARY-NON HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01437.*A,4,Keith Freitas,kfrei@airport.cccounty.us,925-681-4200,http://www.gcr1.com/5010web/airport.cfm?Site=CCR,37.989667,-122.056889,37-59-22.763N,37-59-23N,122-03-24.830W,37-59-22.8000N,122-03-24.8000W,136762.8000N,439404.8000W,122-03-25W,POINT (-122.0568890000798 37.98966699969774)
42,218,228,"CHARLES M. SCHULZ, SONOMA COUNTY AIRPORT",CHARLES M. SCHULZ,STS,Santa Rosa,Sonoma,Commercial/Primary,1,PRIMARY-NON-HUB-REGIONAL-Business/Corporate,Commercial Service Primar,02260.*A,4,Jon Stout,jstout@sonomacountyairport.org,707-565-7243,http://www.gcr1.com/5010web/airport.cfm?Site=STS,38.508989,-122.812875,38-30-32.317N,38-30-32N,122-48-46.369W,38-30-32.3605N,122-48-46.3503W,138632.3605N,442126.3503W,122-48-46W,POINT (-122.8128750003777 38.5089890007068)
70,77,81,FRESNO YOSEMITE INTERNATIONAL AIRPORT,FRESNO YOSEMITE ,FAT,Fresno,Fresno,Commercial/Primary,1,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01591.*A,6,Kevin Meikle,kevin.meikle@fresno.gov,559-621-4600,http://www.gcr1.com/5010web/airport.cfm?Site=FAT,36.776194,-119.718139,36-46-34.300N,36-46-34N,119-43-05.300W,36-46-34.3000N,119-43-05.3000W,132394.3000N,430985.3000W,119-43-05W,POINT (-119.7181390000149 36.77619399988529)
102,215,225,"JOHN WAYNE AIRPORT, ORANGE CO.",JOHN WAYNE,SNA,Santa Ana,Orange,Commercial/Primary,1,PRIMARY-MEDIUIM HUB-METROPOLITAN-Business/Corporat,Commercial Service Primar,02230.*A,12,"Barry Rondinella, AAE/CAE",Brondinella@ocair.com,949-252-5183,http://www.gcr1.com/5010web/airport.cfm?Site=SNA,33.675667,-117.868222,33-40-32.371N,33-40-32N,117-52-05.601W,33-40-32.4000N,117-52-05.6000W,121232.4000N,424325.6000W,117-52-06W,POINT (-117.8682220004624 33.67566700020011)
116,124,131,LONG BEACH AIRPORT DAUGHERTY FIELD,LONG BEACH,LGB,Long Beach,Los Angeles,Commercial/Primary,1,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01794.*A,7,Jess Romo,lgbarpt@longbeach.gov,562-570-2619,http://www.gcr1.com/5010web/airport.cfm?Site=LGB,33.817777,-118.151651,33-49-03.800N,33-49-04N,118-09-05.800W,33-49-03.9975N,118-09-05.9436W,121743.9975N,425345.9436W,118-09-06W,POINT (-118.1516509999589 33.81777699983013)
118,123,130,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES ,LAX,Los Angeles,Los Angeles,Commercial/Primary,1,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01818.*A,7,Lew Winslow,lwinslow@lawa.org,424-646-5884,http://www.gcr1.com/5010web/airport.cfm?Site=LAX,33.942522,-118.407161,33-56-33.130N,33-56-33N,118-24-29.068W,33-56-32.9838N,118-24-29.0462W,122192.9838N,426269.0462W,118-24-29W,POINT (-118.4071610000255 33.94252200039755)
121,139,146,MAMMOTH YOSEMITE AIRPORT,MAMMOTH YOSEMITE,MMH,Mammoth Lakes,Mono,Commercial/Primary,1,PRIMARY-NON HUB-REGIONAL-Business/Corporate,Commercial Service Primar,01857.*A,9,Brian Picken,bpicken@townofmammothlakes.ca.gov,760-965-3620,http://www.gcr1.com/5010web/airport.cfm?Site=MMH,37.624056,-118.83875,37-37-26.575N,37-37-27N,118-50-15.980W,37-37-26.6000N,118-50-19.5000W,135446.6000N,427819.5000W,118-50-16W,POINT (-118.8387499999179 37.62405600041313)
126,36,37,MEADOWS FIELD AIRPORT,MEADOWS FIELD,BFL,Bakersfield,Kern,Commercial/Primary,1,PRIMARY-NON HUB-REGIONAL-Business/Corporate,Commercial Service Primar,01291.*A,6,Ron Brewster,brewsterr@kerncounty.com,661-391-1824,http://www.gcr1.com/5010web/airport.cfm?Site=BFL,35.433861,-119.057667,35-26-00.953N,35-26-01N,119-03-24.365W,35-26-01.9000N,119-03-27.6000W,127561.9000N,428607.6000W,119-03-24W,POINT (-119.0576670002234 35.43386099995781)
